SALARY,HOURLY RATE,TITLE,DEPARTMENT
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$29,969.89 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$57,941.96 ",,SENIOR POLICE OFFICER,POLICE
"$34,660.29 ",,PLANT MAINTENANCE MECHANIC,PUBLIC UTILITIES
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$53,288.89 ",,SENIOR BUILDING PLANS EXAMINER,INSPECTIONS
"$34,320.00 ",,POLICE EQUIPMENT MECHANIC,POLICE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$38,779.98 ",,FIRST CLASS POLICE OFFICER,POLICE
,$28.00 ,OFFICIALS,PARK AND RECREATION
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
"$21,639.90 ",,SERVICE WORKER,PUBLIC WORKS
"$32,166.61 ",,POLICE OFFICER,POLICE
"$33,490.11 ",,STORMWATER CONTROL INSPECTOR,PUBLIC WORKS
"$71,294.50 ",,POLICE SERGEANT,POLICE
"$20,560.38 ",,SERVICE WORKER,PUBLIC WORKS
"$37,189.44 ",,HOUSING INSPECTOR (I),INSPECTIONS
"$59,332.14 ",,FIRE LT/HAZMAT TECH,FIRE
"$21,049.60 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$44,972.05 ",,FIRE LIEUTENANT,FIRE
"$33,574.32 ",,MOTOR EQUIPMENT MECHANIC,PUBLIC WORKS
,$10.97 ,GARDENER,PARK AND RECREATION
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$40,188.22 ",,FIRST CLASS POLICE OFFICER,POLICE
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$25,990.85 ",,LEAD SERVICE WORKER,PUBLIC UTILITIES
"$59,812.99 ",,SENIOR POLICE OFFICER,POLICE
"$22,126.62 ",,SERVICE WORKER,PUBLIC UTILITIES
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$52,391.12 ",,FIRE LT/HAZMAT TECH,FIRE
"$29,644.16 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$41,871.26 ",,FIRST CLASS FF HAZMAT/TECH,FIRE
"$41,867.17 ",,FIRST CLASS FIREFIGHTER,FIRE
,$15.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$61,839.52 ",,SENIOR POLICE OFFICER,POLICE
"$29,767.71 ",,WATER METER MECHANIC,PUBLIC UTILITIES
"$30,761.95 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
"$42,220.70 ",,STAFF ASSISTANT,POLICE
,$9.00 ,COMMUNITY SERVICES REPRES.(T),POLICE
"$39,645.93 ",,SENIOR STAFF SUPPORT SPECIALIST,FIRE
"$49,727.81 ",,TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
"$31,119.09 ",,CUSTODIAL WORKER,PARK AND RECREATION
"$51,938.44 ",,ADMINISTRATIVE ASSISTANT,GENERAL GOVERNMENT
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$58,575.24 ",,STORM WATER QUALITY TECHNICIAN,PUBLIC WORKS
"$105,000.04 ",,CITY CLERK,GENERAL GOVERNMENT
"$69,917.05 ",,POLICE SERGEANT,POLICE
"$53,141.19 ",,ADMINISTRATIVE ASSISTANT,FINANCE
"$47,007.17 ",,METER MECHANIC SUPERVISOR,PUBLIC UTILITIES
"$58,378.32 ",,SENIOR POLICE OFFICER,POLICE
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$16.00 ,OFFICIALS,PARK AND RECREATION
,$6.15 ,YOUTH EMPL PARTICIPANT I(T),COMMUNITY SERVICES
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
,$10.75 ,PROGRAM SPECIALIST VI-C (T),PARK AND RECREATION
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$38,999.92 ",,COMMUNITY SPECIALIST,COMMUNITY SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$12.50 ,PHYSICAL MOVEMT INSTRUCTOR(T),PARK AND RECREATION
"$34,247.62 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
"$26,597.79 ",,EQUIPMENT OPERATOR I,PUBLIC WORKS
"$44,913.65 ",,WATER & SEWER SUPERVISOR II,PUBLIC UTILITIES
"$49,520.84 ",,RCCC MARKETING SPECIALIST,CONVENTION CENTER
"$62,448.86 ",,POLICE DETECTIVE I,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$42,298.62 ",,FIRST CLASS POLICE OFFICER,POLICE
,$25.00 ,OFFICIALS,PARK AND RECREATION
"$32,304.58 ",,FIREFIGHTER,FIRE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$55,785.88 ",,VOLUNTEER SERVICES COORDINATOR,COMMUNITY SERVICES
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$51,779.61 ",,FIRE CAPTAIN,FIRE
"$25,931.98 ",,SR. TRAFFIC SERVICES TECHNICIAN,PUBLIC WORKS
"$44,625.80 ",,ACCOUNTING TECHNICIAN,FINANCE
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
,$14.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
"$34,707.92 ",,SEWER MONITORING SUPERVISOR,PUBLIC UTILITIES
"$33,453.20 ",,POLICE OFFICER,POLICE
"$27,031.68 ",,LEAD SERVICE WORKER,PUBLIC UTILITIES
"$24,383.63 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$20.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$28,282.54 ",,SENIOR SURVEY TECHNICIAN,PUBLIC WORKS
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$20,560.38 ",,SERVICE WORKER,PUBLIC WORKS
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$78,461.68 ",,IT MANAGER,INFORMATION TECHNOLOGY
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$12.00 ,MOTOR EQUIPMENT MECHANIC,PUBLIC WORKS
"$39,059.97 ",,SENIOR STAFF SUPPORT SPECIALIST,POLICE
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$40,048.33 ",,SENIOR SURVEY TECHNICIAN,PUBLIC WORKS
"$57,615.87 ",,FIRE LIEUTENANT,FIRE
,$35.00 ,OFFICIALS,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
"$33,733.72 ",,POLICE RECORDS SPECIALIST,POLICE
"$25,574.64 ",,EQUIPMENT OPERATOR I,PUBLIC WORKS
"$52,084.25 ",,MASTER POLICE OFFICER,POLICE
"$24,991.20 ",,WATER QUALITY TECHNICIAN,PUBLIC UTILITIES
"$32,166.61 ",,POLICE OFFICER,POLICE
"$83,451.08 ",,POLICE CAPTAIN,POLICE
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$37,792.98 ",,CREW SUPERVISOR,SOLID WASTE SERVICES
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
,$9.72 ,CL. ASSISTANT III (T),SOLID WASTE SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$22.00 ,OFFICIALS,PARK AND RECREATION
"$50,047.67 ",,MASTER POLICE OFFICER,POLICE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$35.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$43.00 ,VISUAL ARTS INSTRUCTOR(T),PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$6.15 ,YOUTH EMPL PARTICIPANT I(T),COMMUNITY SERVICES
,$26.25 ,PHYSICAL MOVEMT INSTRUCTOR(T),PARK AND RECREATION
"$33,191.56 ",,POLICE OFFICER,POLICE
,$7.09 ,SERVICE WORKER,PARK AND RECREATION
,$19.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$6.75 ,ACTIVITY SPECIALIST I,PARK AND RECREATION
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
"$54,984.51 ",,MAINTENANCE MECHANIC II,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$39,500.05 ",,ADMINISTRATIVE ASSISTANT,PARK AND RECREATION
"$74,936.00 ",,BATTALION FIRE CHIEF,FIRE
"$76,320.81 ",,BATTALION FIRE CHIEF,FIRE
"$58,575.09 ",,GARAGE SUPERVISOR,FIRE
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
,$9.41 ,CUSTODIAL WORKER,SOLID WASTE SERVICES
"$55,785.88 ",,STORMWATER CONTROL INSPECTOR,PUBLIC WORKS
"$29,556.59 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
"$20,560.38 ",,SERVICE WORKER,PUBLIC UTILITIES
"$25,460.45 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$61,503.85 ",,ENGINEERING INSPECTOR SUPERVISOR,PUBLIC WORKS
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
"$60,885.97 ",,LEAD INSTRUMENTATION TECHNICIAN,PUBLIC UTILITIES
"$34,642.89 ",,ADMINISTRATIVE ASSISTANT,FINANCE
"$41,428.20 ",,REC FACIL & PROGRAM SUPV II,PARK AND RECREATION
"$55,671.82 ",,SENIOR TRAFFIC SIGNAL TECH,PUBLIC WORKS
"$32,166.61 ",,POLICE OFFICER,POLICE
,$35.00 ,OFFICIALS,PARK AND RECREATION
,$9.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$12.51 ,CHEMIST,PUBLIC UTILITIES
"$55,785.88 ",,SURVEY TECHNICIAN CREW CHIEF,PUBLIC WORKS
,$20.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$8.75 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$43,063.77 ",,SR. CUSTOMER SERVICES REP,INSPECTIONS
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$48,679.78 ",,ADMINISTRATIVE ASSISTANT,INSPECTIONS
"$78,045.99 ",,HOUSING INSPECTION ADMINISTRATOR,INSPECTIONS
"$32,166.61 ",,POLICE OFFICER,POLICE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$25,783.13 ",,STAFF SUPPORT SPECIALIST,POLICE
"$39,476.53 ",,MAINTENANCE WORKER II,PARK AND RECREATION
"$35,684.04 ",,PERSONNEL TECHNICIAN,PERSONNEL
"$72,266.56 ",,SENIOR GIS DATABASE ADMINISTRATOR,INFORMATION TECHNOLOGY
"$33,349.47 ",,FIREFIGHTER,FIRE
"$24,991.20 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
"$36,374.00 ",,SWS CODE ENFORCEMENT OFFICER,SOLID WASTE SERVICES
"$32,763.09 ",,STAFF SUPPORT SPECIALIST,INSPECTIONS
"$33,585.77 ",,POLICE OFFICER,POLICE
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$43,709.74 ",,EQUIPMENT OPERATOR III,PUBLIC WORKS
"$34,310.41 ",,RECREATION PROGRAM SPECIALIST,PARK AND RECREATION
"$53,809.57 ",,CIVIL ENGINEER,INSPECTIONS
"$53,407.10 ",,FIRE LT/HAZMAT TECH,FIRE
"$99,679.63 ",,FIRE MARSHAL,FIRE
"$42,625.51 ",,SENIOR ENGINEERING INSPECTOR,PUBLIC WORKS
"$77,924.68 ",,SENIOR PLANNER,PLANNING
"$53,329.39 ",,FIRE INSPECTOR III,FIRE
"$30,093.44 ",,MAINTENANCE WORKER I,PARK AND RECREATION
"$39,645.84 ",,MAINTENANCE WORKER I,PARK AND RECREATION
"$52,417.53 ",,MASTER POLICE OFFICER,POLICE
"$88,680.38 ",,SEWER COLLECTION SUPERINTENDENT,PUBLIC UTILITIES
"$38,275.54 ",,LEAD SERVICE WORKER,PARK AND RECREATION
"$34,946.91 ",,PLANT MAINTENANCE MECHANIC,PUBLIC UTILITIES
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
"$36,249.41 ",,TREE TRIMMER,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$41,425.32 ",,SENIOR FIREFIGHTER,FIRE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$9.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$20.00 ,VISUAL ARTS INSTRUCTOR(T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$43,213.50 ",,FIRST CLASS POLICE OFFICER,POLICE
"$36,668.53 ",,TELECOMMUNICATOR I,EMERGENCY COMMUNICATION
,$16.00 ,OFFICIALS,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$20.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
"$43,709.58 ",,MOBILITY SPECIALIST,PUBLIC WORKS
"$58,575.24 ",,SENIOR ENGINEERING INSPECTOR,PUBLIC WORKS
,$25.00 ,OFFICIALS,PARK AND RECREATION
"$33,146.15 ",,POLICE RECORDS SPECIALIST,POLICE
"$30,285.05 ",,FIREFIGHTER,FIRE
"$9,999.84 ",,COUNCILOR,GENERAL GOVERNMENT
,$11.00 ,HUMAN RESOURCES COUNSELOR (T),COMMUNITY SERVICES
"$33,271.26 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$37,699.58 ",,MOTOR EQUIPMENT MECHANIC,PUBLIC WORKS
,$8.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$18.00 ,VISUAL ARTS INSTRUCTOR(T),PARK AND RECREATION
,$10.50 ,PROGRAM SPECIALIST VI-B (T),PARK AND RECREATION
"$51,999.95 ",,MASTER POLICE OFFICER,POLICE
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
"$52,696.88 ",,REC FACIL & PROGRAM SUPV III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$50,241.15 ",,SENIOR TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
"$39,625.78 ",,REC FACIL & PROGRAM SUPV II,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$32,958.15 ",,FIREFIGHTER,FIRE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$40,019.20 ",,MOTOR EQUIPMENT MECHANIC,PUBLIC WORKS
"$47,527.62 ",,SENIOR FIREFIGHTER,FIRE
"$34,703.74 ",,PERMIT AUDITOR,INSPECTIONS
"$33,128.78 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
"$59,305.21 ",,SENIOR POLICE OFFICER,POLICE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$44,972.05 ",,FIRE LIEUTENANT,FIRE
"$47,790.36 ",,REC FACIL & PROGRAM SUPV II,PARK AND RECREATION
"$35,814.06 ",,GARDENER,PARK AND RECREATION
"$51,800.01 ",,CD PLANNER II,COMMUNITY DEVELOPMENT
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$57,438.58 ",,ACCOUNTANT/AUDITOR II,CONVENTION CENTER
"$50,873.22 ",,MASTER POLICE OFFICER,POLICE
"$43,875.18 ",,SENIOR FIREFIGHTER,FIRE
"$65,668.94 ",,FIRE CAPTAIN,FIRE
,$48.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
,$16.00 ,OFFICIALS,PARK AND RECREATION
"$38,854.27 ",,FIRE LIEUTENANT,FIRE
,$9.41 ,CUSTODIAL WORKER,SOLID WASTE SERVICES
"$29,120.00 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
"$37,929.35 ",,POLICE PAYROLL ADMINISTRATOR -,POLICE
"$92,493.74 ",,INSPECTIONS DIRECTOR,INSPECTIONS
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$70,036.51 ",,POLICE SERGEANT,POLICE
"$21,639.90 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$22.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$34.00 ,OFFICIALS,PARK AND RECREATION
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$68,929.44 ",,POLICE SERGEANT,POLICE
,$8.25 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
"$61,437.45 ",,POLICE DETECTIVE I,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$47,390.38 ",,CODE ENFORCEMENT INSPECTOR (III),INSPECTIONS
"$36,469.69 ",,ADMINISTRATIVE ASSISTANT,INSPECTIONS
"$72,436.03 ",,RECREATION PROGRAM DIRECTOR,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$55,752.12 ",,FIRE LIEUTENANT,FIRE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
"$29,621.90 ",,EQUIPMENT OPERATOR II,PUBLIC WORKS
"$31,620.99 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
"$50,886.28 ",,FIRE LIEUTENANT,FIRE
"$32,166.61 ",,POLICE OFFICER,POLICE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$32,166.61 ",,POLICE OFFICER,POLICE
"$93,789.59 ",,ASSISTANT FIRE CHIEF,FIRE
"$85,263.12 ",,DIVISION FIRE CHIEF,FIRE
"$69,448.59 ",,SENIOR SYSTEMS ANALYST/PROGRAMMER,INFORMATION TECHNOLOGY
"$24,753.27 ",,UTILITY BILLING FIELD TECHNICIAN,FINANCE
"$76,273.59 ",,PROJECT ENGINEER II,PUBLIC WORKS
"$50,000.01 ",,SYSTEMS ANALYST/PROGRAMMER,INFORMATION TECHNOLOGY
"$62,448.86 ",,POLICE DETECTIVE I,POLICE
"$72,414.87 ",,PUBLIC INFORMATION OFFICER,POLICE
"$32,736.09 ",,SURVEY TECHNICIAN CREW CHIEF,PUBLIC WORKS
"$67,233.94 ",,FIRE CAPTAIN,FIRE
"$37,960.00 ",,HEAVY EQUIPMENT MECHANIC,PUBLIC WORKS
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
,$40.00 ,OFFICIALS,PARK AND RECREATION
"$71,198.41 ",,STAFF ANALYST,PUBLIC WORKS
,$12.00 ,PLANNING ASSISTANT,COMMUNITY DEVELOPMENT
"$46,910.81 ",,PLANNING TECHNICIAN,PLANNING
"$19,651.22 ",,CUSTODIAL WORKER,PARK AND RECREATION
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
"$21,049.60 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$32.00 ,OFFICIALS,PARK AND RECREATION
"$52,692.22 ",,ASSISTANT SWS OPERATIONS SUPERINTEN,SOLID WASTE SERVICES
"$62,096.86 ",,CODE ENFORCEMENT INSPECTOR (III),INSPECTIONS
,$9.41 ,CUSTODIAL WORKER,SOLID WASTE SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$65.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$42,415.02 ",,SENIOR FIREFIGHTER,FIRE
"$43,063.77 ",,COURT LIAISON SPECIALIST,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$30,765.90 ",,TELECOMMUNICATOR I,EMERGENCY COMMUNICATION
"$39,492.79 ",,UB CUSTOMER SERVICE SPECIALIST,PUBLIC UTILITIES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.50 ,STAFF SUPPORT SPECIALIST,CONVENTION CENTER
,$12.00 ,EVENT SECURITY OFFICER II (T),CONVENTION CENTER
"$50,018.19 ",,POLICE DETECTIVE I,POLICE
"$44,829.12 ",,CRIME ANALYST,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$71,365.66 ",,CD PROGRAM MANAGER,COMMUNITY DEVELOPMENT
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
"$40,560.00 ",,MAINTENANCE MECHANIC III,PARK AND RECREATION
"$75,772.35 ",,POLICE LIEUTENANT,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$32,278.27 ",,TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
"$43,360.62 ",,SENIOR FIREFIGHTER,FIRE
"$31,240.76 ",,BILLING DATA TECHNICIAN,PUBLIC UTILITIES
"$69,753.25 ",,POLICE SERGEANT,POLICE
"$37,060.48 ",,RECREATION PROGRAM SPECIALIST,PARK AND RECREATION
,$11.00 ,WATER METER MECHANIC,PUBLIC UTILITIES
"$29,765.01 ",,SENIOR AUTOMOTIVE SERVICES TECH,PUBLIC WORKS
"$62,003.97 ",,SENIOR SYSTEMS ADMINISTRATOR,INFORMATION TECHNOLOGY
"$63,385.58 ",,POLICE CORPORALS,POLICE
"$9,999.84 ",,COUNCILOR,GENERAL GOVERNMENT
"$49,961.60 ",,PLANT MAINTENANCE SUPERVISOR,PUBLIC UTILITIES
"$31,124.70 ",,TRAFFIC SERVICES TECHNICIAN,PUBLIC WORKS
"$54,416.08 ",,ENGINEERING TECHNICIAN,PUBLIC UTILITIES
,$8.50 ,BOX OFFICE TEMP II (T),CONVENTION CENTER
"$34,320.00 ",,POLICE EQUIPMENT MECHANIC,POLICE
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$63,466.83 ",,PLANT OPERATIONS SUPERVISOR,PUBLIC UTILITIES
"$61,151.22 ",,CODE ENFORCEMENT INSPECTOR (III),INSPECTIONS
"$52,396.38 ",,FIRE LIEUTENANT,FIRE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$69,150.26 ",,FIRE CAPT/HAZMAT TECH,FIRE
"$65,333.11 ",,FIRE CAPT/HAZMAT TECH,FIRE
"$24,960.00 ",,EQUIPMENT OPERATOR I,PUBLIC WORKS
"$60,244.16 ",,FIRE CAPTAIN,FIRE
"$35,960.09 ",,STAFF SUPPORT SPECIALIST,PARK AND RECREATION
,$9.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$8.50 ,TICKET SELLER I(T),CONVENTION CENTER
"$27,040.00 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$49,121.07 ",,HEAVY EQUIPMENT MECHANIC,PUBLIC WORKS
"$37,443.47 ",,FIRST CLASS FIREFIGHTER,FIRE
"$44,972.05 ",,FIRE LIEUTENANT,FIRE
"$58,424.62 ",,SENIOR POLICE OFFICER,POLICE
"$27,499.91 ",,STAFF SUPPORT SPECIALIST,PLANNING
"$71,568.57 ",,FIRE CAPT/HAZMAT TECH,FIRE
"$25,813.42 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$47,636.32 ",,MASTER POLICE OFFICER,POLICE
"$39,059.97 ",,TRANSCRIPTIONIST SUPERVISOR,INFORMATION TECHNOLOGY
"$71,468.12 ",,POLICE SERGEANT,POLICE
"$65,863.98 ",,POLICE SERGEANT,POLICE
"$48,400.10 ",,PARKS & REC SAFETY COORDINATOR,PARK AND RECREATION
"$78,424.16 ",,POLICE LIEUTENANT,POLICE
,$11.00 ,PROGRAM SPECIALIST VI-D (T),PARK AND RECREATION
"$34,928.93 ",,POLICE OFFICER,POLICE
"$39,323.53 ",,SENIOR BUILDING PLANS EXAMINER,INSPECTIONS
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$29,555.97 ",,SERVICE WORKER,PARK AND RECREATION
"$28,999.28 ",,PAYROLL TECHNICIAN,FINANCE
"$43,059.12 ",,INFORMATION RESPONSE TECHNICIAN,POLICE
"$32,166.61 ",,POLICE OFFICER,POLICE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$37,443.47 ",,FIRST CLASS FIREFIGHTER,FIRE
"$32,166.61 ",,POLICE OFFICER,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$24,960.00 ",,EQUIPMENT OPERATOR I,PUBLIC WORKS
"$23,103.81 ",,SERVICE WORKER,PARK AND RECREATION
,$12.00 ,EVENT SECURITY OFFICER II (T),CONVENTION CENTER
"$27,979.33 ",,EQUIPMENT OPERATOR I,PARK AND RECREATION
,$35.58 ,PSYCHOLOGIST,POLICE
"$97,069.40 ",,POLICE MAJOR,POLICE
,$18.00 ,OFFICIALS,PARK AND RECREATION
